index,x_mm,y_mm
0,22.44545041,1.56580835
1,22.48497236,1.56466171
2,22.52419775,1.56355286
3,22.56312601,1.56248137
4,22.60175656,1.56144682
5,22.64008884,1.56044877
6,22.67812229,1.55948679
7,22.71585634,1.55856045
8,22.75329044,1.55766932
9,22.79042405,1.55681297
10,22.82725662,1.55599095
11,22.86378762,1.55520284
12,22.90001650,1.55444819
13,22.93594274,1.55372656
14,22.97156581,1.55303751
15,23.00688519,1.55238060
16,23.04190037,1.55175539
17,23.07661084,1.55116143
18,23.11101608,1.55059828
19,23.14511560,1.55006549
20,23.17890889,1.54956261
21,23.21239548,1.54908920
22,23.24557486,1.54864480
23,23.27844656,1.54822896
24,23.31101010,1.54784123
25,23.34326500,1.54748115
26,23.37521080,1.54714828
27,23.40684703,1.54684216
28,23.43817323,1.54656232
29,23.46918895,1.54630832
30,23.49989375,1.54607969
31,23.53028716,1.54587598
32,23.56036877,1.54569672
33,23.59013812,1.54554145
34,23.61959479,1.54540971
35,23.64873836,1.54530104
36,23.67756840,1.54521496
37,23.70608450,1.54515103
38,23.73428625,1.54510876
39,23.76217324,1.54508770
40,23.78974507,1.54508737
41,23.81700134,1.54510731
42,23.84394167,1.54514705
43,23.87056566,1.54520611
44,23.89687294,1.54528402
45,23.92286313,1.54538032
46,23.94853585,1.54549452
47,23.97389075,1.54562617
48,23.99892745,1.54577477
49,24.02364560,1.54593986
50,24.04804486,1.54612095
51,24.07212486,1.54631758
52,24.09588528,1.54652927
53,24.11932576,1.54675553
54,24.14244599,1.54699589
55,24.16524564,1.54724987
56,24.18772437,1.54751698
57,24.20988188,1.54779676
58,24.23171785,1.54808870
59,24.25323197,1.54839235
60,24.27442394,1.54870720
61,24.29529347,1.54903278
62,24.31584026,1.54936860
63,24.33606403,1.54971418
64,24.35596448,1.55006904
65,24.37554136,1.55043268
66,24.39479437,1.55080463
67,24.41372326,1.55118439
68,24.43232776,1.55157148
69,24.45060762,1.55196540
70,24.46856258,1.55236569
71,24.48619239,1.55277183
72,24.50349682,1.55318335
73,24.52047563,1.55359976
74,24.53712858,1.55402056
75,24.55345545,1.55444527
76,24.56945601,1.55487339
77,24.58513005,1.55530443
78,24.60047736,1.55573791
79,24.61549773,1.55617333
80,24.63019096,1.55661020
81,24.64455684,1.55704802
82,24.65859520,1.55748631
83,24.67230584,1.55792456
84,24.68568858,1.55836230
85,24.69874325,1.55879902
86,24.71146967,1.55923423
87,24.72386768,1.55966744
88,24.73593712,1.56009814
89,24.74767782,1.56052586
90,24.75908965,1.56095009
91,24.77017245,1.56137034
92,24.78092608,1.56178611
93,24.79135042,1.56219691
94,24.80144532,1.56260225
95,24.81121066,1.56300162
96,24.82064632,1.56339454
97,24.82975219,1.56378050
98,24.83852815,1.56415902
99,24.84697411,1.56452959
100,24.85508996,1.56489172
101,24.86287560,1.56524492
102,24.87033096,1.56558868
103,24.87745593,1.56592252
104,24.88425045,1.56624594
105,24.89071444,1.56655844
106,24.89684782,1.56685953
107,24.90265055,1.56714871
108,24.90812255,1.56742548
109,24.91326377,1.56768935
110,24.91807417,1.56793983
111,24.92255370,1.56817642
112,24.92670232,1.56839862
113,24.93052000,1.56860594
114,24.93400671,1.56879789
115,24.93716243,1.56897397
116,24.93998714,1.56913368
117,24.94248083,1.56927653
118,24.94464349,1.56940203
119,24.94647511,1.56950968
120,24.94797571,1.56959899
121,24.94914528,1.56966947
122,24.94998385,1.56972062
123,24.95049142,1.56975196
124,24.95066802,1.56976298
125,24.95066865,1.56976302
126,24.95082253,1.56977313
127,24.95125299,1.56980300
128,24.95195986,1.56985484
129,24.95294296,1.56993086
130,24.95420211,1.57003327
131,24.95573710,1.57016428
132,24.95754770,1.57032611
133,24.95963368,1.57052097
134,24.96199479,1.57075105
135,24.96463077,1.57101857
136,24.96754134,1.57132573
137,24.97072619,1.57167474
138,24.97418503,1.57206778
139,24.97791753,1.57250707
140,24.98192336,1.57299479
141,24.98620215,1.57353314
142,24.99075354,1.57412431
143,24.99557716,1.57477049
144,25.00067260,1.57547387
145,25.00603946,1.57623662
146,25.01167731,1.57706093
147,25.01758571,1.57794899
148,25.02376420,1.57890295
149,25.03021233,1.57992500
150,25.03692960,1.58101731
151,25.04391552,1.58218204
152,25.05116958,1.58342135
153,25.05869126,1.58473740
154,25.06648000,1.58613236
155,25.07453526,1.58760837
156,25.08285648,1.58916758
157,25.09144306,1.59081213
158,25.10029441,1.59254418
159,25.10940991,1.59436585
160,25.11878896,1.59627929
161,25.12843089,1.59828661
162,25.13833507,1.60038995
163,25.14850082,1.60259142
164,25.15892745,1.60489315
165,25.16961429,1.60729725
166,25.18056060,1.60980582
167,25.19176568,1.61242097
168,25.20322878,1.61514480
169,25.21494915,1.61797939
170,25.22692603,1.62092685
171,25.23915863,1.62398926
172,25.25164616,1.62716869
173,25.26438782,1.63046721
174,25.27738279,1.63388691
175,25.29063022,1.63742983
176,25.30412927,1.64109805
177,25.31787908,1.64489361
178,25.33187877,1.64881856
179,25.34612746,1.65287494
180,25.36062424,1.65706478
181,25.37536819,1.66139013
182,25.39035838,1.66585300
183,25.40559387,1.67045540
184,25.42107371,1.67519936
185,25.43679692,1.68008688
186,25.45276252,1.68511996
187,25.46896951,1.69030059
188,25.48541689,1.69563076
189,25.50210362,1.70111245
190,25.51902868,1.70674763
191,25.53619100,1.71253827
192,25.55358954,1.71848634
193,25.57122321,1.72459378
194,25.58909093,1.73086254
195,25.60719159,1.73729457
196,25.62552408,1.74389179
197,25.64408727,1.75065614
198,25.66288001,1.75758952
199,25.68190117,1.76469385
200,25.70114956,1.77197104
201,25.72062402,1.77942299
202,25.74032335,1.78705157
203,25.76024634,1.79485867
204,25.78039178,1.80284617
205,25.80075845,1.81101592
206,25.82134509,1.81936980
207,25.84215045,1.82790964
208,25.86317328,1.83663729
209,25.88441228,1.84555459
210,25.90586618,1.85466336
211,25.92753366,1.86396541
212,25.94941341,1.87346255
213,25.97150410,1.88315659
214,25.99380440,1.89304932
215,26.01631295,1.90314252
216,26.03902838,1.91343796
217,26.06194934,1.92393742
218,26.08507442,1.93464264
219,26.10840222,1.94555539
220,26.13193134,1.95667738
221,26.15566036,1.96801037
222,26.17958784,1.97955606
223,26.20371234,1.99131617
224,26.22803239,2.00329240
225,26.25254653,2.01548646
226,26.27725329,2.02790001
227,26.30215116,2.04053473
228,26.32723866,2.05339230
229,26.35251425,2.06647436
230,26.37797643,2.07978256
231,26.40362365,2.09331854
232,26.42945436,2.10708393
233,26.45546702,2.12108033
234,26.48166004,2.13530937
235,26.50803186,2.14977262
236,26.53458088,2.16447168
237,26.56130550,2.17940813
238,26.58820410,2.19458353
239,26.61527508,2.20999944
240,26.64251678,2.22565740
241,26.66992758,2.24155894
242,26.69750582,2.25770560
243,26.72524983,2.27409888
244,26.75315795,2.29074029
245,26.78122847,2.30763132
246,26.80945972,2.32477345
247,26.83784999,2.34216816
248,26.86639756,2.35981689
249,26.89510071,2.37772111
250,26.90186249,2.29995537
251,26.90839941,2.22217040
252,26.91471142,2.14436686
253,26.92079847,2.06654540
254,26.92666050,1.98870666
255,26.93229748,1.91085131
256,26.93770934,1.83297998
257,26.94289605,1.75509333
258,26.94785756,1.67719200
259,26.95259383,1.59927667
260,26.95710482,1.52134796
261,26.96139050,1.44340654
262,26.96545082,1.36545305
263,26.96928576,1.28748815
264,26.97289528,1.20951249
265,26.97627934,1.13152672
266,26.97943794,1.05353149
267,26.98237103,0.97552746
268,26.98507859,0.89751527
269,26.98756060,0.81949558
270,26.98981704,0.74146904
271,26.99184789,0.66343630
272,26.99365313,0.58539802
273,26.99523275,0.50735485
274,26.99658673,0.42930743
275,26.99771507,0.35125643
276,26.99861775,0.27320249
277,26.99929477,0.19514627
278,26.99974612,0.11708841
279,26.99997179,0.03902958
280,26.99997179,-0.03902958
281,26.99974612,-0.11708841
282,26.99929477,-0.19514627
283,26.99861775,-0.27320249
284,26.99771507,-0.35125643
285,26.99658673,-0.42930743
286,26.99523275,-0.50735485
287,26.99365313,-0.58539802
288,26.99184789,-0.66343630
289,26.98981704,-0.74146904
290,26.98756060,-0.81949558
291,26.98507859,-0.89751527
292,26.98237103,-0.97552746
293,26.97943794,-1.05353149
294,26.97627934,-1.13152672
295,26.97289528,-1.20951249
296,26.96928576,-1.28748815
297,26.96545082,-1.36545305
298,26.96139050,-1.44340654
299,26.95710482,-1.52134796
300,26.95259383,-1.59927667
301,26.94785756,-1.67719200
302,26.94289605,-1.75509333
303,26.93770934,-1.83297998
304,26.93229748,-1.91085131
305,26.92666050,-1.98870666
306,26.92079847,-2.06654540
307,26.91471142,-2.14436686
308,26.90839941,-2.22217040
309,26.90186249,-2.29995537
310,26.89510071,-2.37772111
311,26.86639756,-2.35981689
312,26.83784999,-2.34216816
313,26.80945972,-2.32477345
314,26.78122847,-2.30763132
315,26.75315795,-2.29074029
316,26.72524983,-2.27409888
317,26.69750582,-2.25770560
318,26.66992758,-2.24155894
319,26.64251678,-2.22565740
320,26.61527508,-2.20999944
321,26.58820410,-2.19458353
322,26.56130550,-2.17940813
323,26.53458088,-2.16447168
324,26.50803186,-2.14977262
325,26.48166004,-2.13530937
326,26.45546702,-2.12108033
327,26.42945436,-2.10708393
328,26.40362365,-2.09331854
329,26.37797643,-2.07978256
330,26.35251425,-2.06647436
331,26.32723866,-2.05339230
332,26.30215116,-2.04053473
333,26.27725329,-2.02790001
334,26.25254653,-2.01548646
335,26.22803239,-2.00329240
336,26.20371234,-1.99131617
337,26.17958784,-1.97955606
338,26.15566036,-1.96801037
339,26.13193134,-1.95667738
340,26.10840222,-1.94555539
341,26.08507442,-1.93464264
342,26.06194934,-1.92393742
343,26.03902838,-1.91343796
344,26.01631295,-1.90314252
345,25.99380440,-1.89304932
346,25.97150410,-1.88315659
347,25.94941341,-1.87346255
348,25.92753366,-1.86396541
349,25.90586618,-1.85466336
350,25.88441228,-1.84555459
351,25.86317328,-1.83663729
352,25.84215045,-1.82790964
353,25.82134509,-1.81936980
354,25.80075845,-1.81101592
355,25.78039178,-1.80284617
356,25.76024634,-1.79485867
357,25.74032335,-1.78705157
358,25.72062402,-1.77942299
359,25.70114956,-1.77197104
360,25.68190117,-1.76469385
361,25.66288001,-1.75758952
362,25.64408727,-1.75065614
363,25.62552408,-1.74389179
364,25.60719159,-1.73729457
365,25.58909093,-1.73086254
366,25.57122321,-1.72459378
367,25.55358954,-1.71848634
368,25.53619100,-1.71253827
369,25.51902868,-1.70674763
370,25.50210362,-1.70111245
371,25.48541689,-1.69563076
372,25.46896951,-1.69030059
373,25.45276252,-1.68511996
374,25.43679692,-1.68008688
375,25.42107371,-1.67519936
376,25.40559387,-1.67045540
377,25.39035838,-1.66585300
378,25.37536819,-1.66139013
379,25.36062424,-1.65706478
380,25.34612746,-1.65287494
381,25.33187877,-1.64881856
382,25.31787908,-1.64489361
383,25.30412927,-1.64109805
384,25.29063022,-1.63742983
385,25.27738279,-1.63388691
386,25.26438782,-1.63046721
387,25.25164616,-1.62716869
388,25.23915863,-1.62398926
389,25.22692603,-1.62092685
390,25.21494915,-1.61797939
391,25.20322878,-1.61514480
392,25.19176568,-1.61242097
393,25.18056060,-1.60980582
394,25.16961429,-1.60729725
395,25.15892745,-1.60489315
396,25.14850082,-1.60259142
397,25.13833507,-1.60038995
398,25.12843089,-1.59828661
399,25.11878896,-1.59627929
400,25.10940991,-1.59436585
401,25.10029441,-1.59254418
402,25.09144306,-1.59081213
403,25.08285648,-1.58916758
404,25.07453526,-1.58760837
405,25.06648000,-1.58613236
406,25.05869126,-1.58473740
407,25.05116958,-1.58342135
408,25.04391552,-1.58218204
409,25.03692960,-1.58101731
410,25.03021233,-1.57992500
411,25.02376420,-1.57890295
412,25.01758571,-1.57794899
413,25.01167731,-1.57706093
414,25.00603946,-1.57623662
415,25.00067260,-1.57547387
416,24.99557716,-1.57477049
417,24.99075354,-1.57412431
418,24.98620215,-1.57353314
419,24.98192336,-1.57299479
420,24.97791753,-1.57250707
421,24.97418503,-1.57206778
422,24.97072619,-1.57167474
423,24.96754134,-1.57132573
424,24.96463077,-1.57101857
425,24.96199479,-1.57075105
426,24.95963368,-1.57052097
427,24.95754770,-1.57032611
428,24.95573710,-1.57016428
429,24.95420211,-1.57003327
430,24.95294296,-1.56993086
431,24.95195986,-1.56985484
432,24.95125299,-1.56980300
433,24.95082253,-1.56977313
434,24.95066865,-1.56976302
435,24.95066802,-1.56976298
436,24.95049142,-1.56975196
437,24.94998385,-1.56972062
438,24.94914528,-1.56966947
439,24.94797571,-1.56959899
440,24.94647511,-1.56950968
441,24.94464349,-1.56940203
442,24.94248083,-1.56927653
443,24.93998714,-1.56913368
444,24.93716243,-1.56897397
445,24.93400671,-1.56879789
446,24.93052000,-1.56860594
447,24.92670232,-1.56839862
448,24.92255370,-1.56817642
449,24.91807417,-1.56793983
450,24.91326377,-1.56768935
451,24.90812255,-1.56742548
452,24.90265055,-1.56714871
453,24.89684782,-1.56685953
454,24.89071444,-1.56655844
455,24.88425045,-1.56624594
456,24.87745593,-1.56592252
457,24.87033096,-1.56558868
458,24.86287560,-1.56524492
459,24.85508996,-1.56489172
460,24.84697411,-1.56452959
461,24.83852815,-1.56415902
462,24.82975219,-1.56378050
463,24.82064632,-1.56339454
464,24.81121066,-1.56300162
465,24.80144532,-1.56260225
466,24.79135042,-1.56219691
467,24.78092608,-1.56178611
468,24.77017245,-1.56137034
469,24.75908965,-1.56095009
470,24.74767782,-1.56052586
471,24.73593712,-1.56009814
472,24.72386768,-1.55966744
473,24.71146967,-1.55923423
474,24.69874325,-1.55879902
475,24.68568858,-1.55836230
476,24.67230584,-1.55792456
477,24.65859520,-1.55748631
478,24.64455684,-1.55704802
479,24.63019096,-1.55661020
480,24.61549773,-1.55617333
481,24.60047736,-1.55573791
482,24.58513005,-1.55530443
483,24.56945601,-1.55487339
484,24.55345545,-1.55444527
485,24.53712858,-1.55402056
486,24.52047563,-1.55359976
487,24.50349682,-1.55318335
488,24.48619239,-1.55277183
489,24.46856258,-1.55236569
490,24.45060762,-1.55196540
491,24.43232776,-1.55157148
492,24.41372326,-1.55118439
493,24.39479437,-1.55080463
494,24.37554136,-1.55043268
495,24.35596448,-1.55006904
496,24.33606403,-1.54971418
497,24.31584026,-1.54936860
498,24.29529347,-1.54903278
499,24.27442394,-1.54870720
500,24.25323197,-1.54839235
501,24.23171785,-1.54808870
502,24.20988188,-1.54779676
503,24.18772437,-1.54751698
504,24.16524564,-1.54724987
505,24.14244599,-1.54699589
506,24.11932576,-1.54675553
507,24.09588528,-1.54652927
508,24.07212486,-1.54631758
509,24.04804486,-1.54612095
510,24.02364560,-1.54593986
511,23.99892745,-1.54577477
512,23.97389075,-1.54562617
513,23.94853585,-1.54549452
514,23.92286313,-1.54538032
515,23.89687294,-1.54528402
516,23.87056566,-1.54520611
517,23.84394167,-1.54514705
518,23.81700134,-1.54510731
519,23.78974507,-1.54508737
520,23.76217324,-1.54508770
521,23.73428625,-1.54510876
522,23.70608450,-1.54515103
523,23.67756840,-1.54521496
524,23.64873836,-1.54530104
525,23.61959479,-1.54540971
526,23.59013812,-1.54554145
527,23.56036877,-1.54569672
528,23.53028716,-1.54587598
529,23.49989375,-1.54607969
530,23.46918895,-1.54630832
531,23.43817323,-1.54656232
532,23.40684703,-1.54684216
533,23.37521080,-1.54714828
534,23.34326500,-1.54748115
535,23.31101010,-1.54784123
536,23.27844656,-1.54822896
537,23.24557486,-1.54864480
538,23.21239548,-1.54908920
539,23.17890889,-1.54956261
540,23.14511560,-1.55006549
541,23.11101608,-1.55059828
542,23.07661084,-1.55116143
543,23.04190037,-1.55175539
544,23.00688519,-1.55238060
545,22.97156581,-1.55303751
546,22.93594274,-1.55372656
547,22.90001650,-1.55444819
548,22.86378762,-1.55520284
549,22.82725662,-1.55599095
550,22.79042405,-1.55681297
551,22.75329044,-1.55766932
552,22.71585634,-1.55856045
553,22.67812229,-1.55948679
554,22.64008884,-1.56044877
555,22.60175656,-1.56144682
556,22.56312601,-1.56248137
557,22.52419775,-1.56355286
558,22.48497236,-1.56466171
559,22.44545041,-1.56580835
560,22.44896746,-1.51454937
561,22.45236746,-1.46328249
562,22.45565037,-1.41200799
563,22.45881619,-1.36072612
564,22.46186489,-1.30943715
565,22.46479647,-1.25814136
566,22.46761090,-1.20683900
567,22.47030818,-1.15553035
568,22.47288828,-1.10421568
569,22.47535120,-1.05289525
570,22.47769692,-1.00156933
571,22.47992543,-0.95023818
572,22.48203672,-0.89890208
573,22.48403077,-0.84756130
574,22.48590759,-0.79621609
575,22.48766714,-0.74486673
576,22.48930944,-0.69351349
577,22.49083446,-0.64215663
578,22.49224221,-0.59079643
579,22.49353267,-0.53943314
580,22.49470583,-0.48806704
581,22.49576170,-0.43669839
582,22.49670026,-0.38532747
583,22.49752152,-0.33395454
584,22.49822545,-0.28257986
585,22.49881208,-0.23120371
586,22.49928138,-0.17982636
587,22.49963335,-0.12844807
588,22.49986801,-0.07706911
589,22.49998533,-0.02568975
590,22.49998533,0.02568975
591,22.49986801,0.07706911
592,22.49963335,0.12844807
593,22.49928138,0.17982636
594,22.49881208,0.23120371
595,22.49822545,0.28257986
596,22.49752152,0.33395454
597,22.49670026,0.38532747
598,22.49576170,0.43669839
599,22.49470583,0.48806704
600,22.49353267,0.53943314
601,22.49224221,0.59079643
602,22.49083446,0.64215663
603,22.48930944,0.69351349
604,22.48766714,0.74486673
605,22.48590759,0.79621609
606,22.48403077,0.84756130
607,22.48203672,0.89890208
608,22.47992543,0.95023818
609,22.47769692,1.00156933
610,22.47535120,1.05289525
611,22.47288828,1.10421568
612,22.47030818,1.15553035
613,22.46761090,1.20683900
614,22.46479647,1.25814136
615,22.46186489,1.30943715
616,22.45881619,1.36072612
617,22.45565037,1.41200799
618,22.45236746,1.46328249
619,22.44896746,1.51454937
620,22.44545041,1.56580835
